"id","outcome","sample","model","n","term","est","se","lo","hi","p","note"
"S4","ami","Primary sample restricted to tracts within 1.25 mi by the straight-line measure","WLS (ZIP-clustered)",2262,"exposure per 0.376",0.476132359255286,0.167432130128121,0.146520801409701,0.805743917100871,0.00479347090570192,""
"S4","ami","Primary sample restricted to tracts within 1.25 mi by the straight-line measure","weighted SEM",2262,"exposure per 0.376",-0.0610547981378643,0.0799102277539352,-0.217678844535577,0.0955692482598487,0.444842006034934,""
"S5","asthma","Primary sample restricted to tracts within 1.0 mi by the straight-line measure","WLS (ZIP-clustered)",2210,"exposure per 0.376",2.0170297571908,1.01427764221945,0.0201971751036357,4.01386233927797,0.047743252667235,""
"S5","asthma","Primary sample restricted to tracts within 1.0 mi by the straight-line measure","weighted SEM",2210,"exposure per 0.376",-0.405136304908914,0.401374360288204,-1.19183005107379,0.381557441255967,0.312795946178376,""
"S5","ami","Primary sample restricted to tracts within 1.0 mi by the straight-line measure","WLS (ZIP-clustered)",2210,"exposure per 0.376",0.424233621883967,0.182817546601986,0.0643163581717667,0.784150885596168,0.0210521073664304,""
"S5","ami","Primary sample restricted to tracts within 1.0 mi by the straight-line measure","weighted SEM",2210,"exposure per 0.376",-0.022886282479885,0.0840069422233053,-0.187539889237563,0.141767324277793,0.785288925980822,""
"S6","asthma","Density >= 1,000 persons per sq mi","WLS (ZIP-clustered)",2224,"exposure per 0.376",3.09190626766039,1.06871030655742,0.987841148589016,5.19597138673176,0.0041253329781134,""
"S6","asthma","Density >= 1,000 persons per sq mi","weighted SEM",2224,"exposure per 0.376",-0.898960567275948,0.409900102247122,-1.70236476768031,-0.0955563668715882,0.0282986544487472,""
"S6","ami","Density >= 1,000 persons per sq mi","WLS (ZIP-clustered)",2224,"exposure per 0.376",0.600240067303027,0.17345593538159,0.25874192595176,0.941738208654295,0.00062656789925802,""
"S6","ami","Density >= 1,000 persons per sq mi","weighted SEM",2224,"exposure per 0.376",-0.111642239407715,0.0862699838538201,-0.280731407761203,0.057446928945772,0.195629867505776,""
"S7T1","asthma","Density tertile T1 (post hoc)","WLS (ZIP-clustered)",769,"exposure per 0.376",-0.173427155504316,0.760893172070697,-1.67292495675283,1.3260706457442,0.819913742572233,""
"S7T1","ami","Density tertile T1 (post hoc)","WLS (ZIP-clustered)",769,"exposure per 0.376",0.0309457483849667,0.111892197320298,-0.189561032352792,0.251452529122726,0.782369518319068,""
"S7T2","asthma","Density tertile T2 (post hoc)","WLS (ZIP-clustered)",768,"exposure per 0.376",2.98823927953513,1.2862173518129,0.452254831577406,5.52422372749286,0.0211495003050557,""
"S7T2","ami","Density tertile T2 (post hoc)","WLS (ZIP-clustered)",768,"exposure per 0.376",0.735391904810744,0.247962167233987,0.246494597601381,1.22428921202011,0.0033796085128082,""
"S7T3","asthma","Density tertile T3 (post hoc)","WLS (ZIP-clustered)",768,"exposure per 0.376",5.69120067453646,2.5659445327201,0.623712813992027,10.7586885350809,0.0279650368080047,""
"S7T3","ami","Density tertile T3 (post hoc)","WLS (ZIP-clustered)",768,"exposure per 0.376",0.806972870832097,0.468236846672593,-0.11774880811146,1.73169454977565,0.0867427811305995,""
"S7int","asthma","primary","WLS dist x density tertile",2305,"joint interaction",NA,NA,NA,NA,0.2308893754557,""
"S7int","ami","primary","WLS dist x density tertile",2305,"joint interaction",NA,NA,NA,NA,0.419950179284691,""
"S8","asthma","Six-nearest-neighbor spatial weights","WLS (ZIP-clustered)",2305,"exposure per 0.376",1.63668822427948,0.901172851237195,-0.137301150404834,3.4106775989638,0.070420455096709,""
"S8","asthma","Six-nearest-neighbor spatial weights","weighted SEM",2305,"exposure per 0.376",-0.956408985152358,0.31327006272881,-1.57041830810083,-0.34239966220389,0.0022657682339366,""
"S8","ami","Six-nearest-neighbor spatial weights","WLS (ZIP-clustered)",2305,"exposure per 0.376",0.343831769514216,0.14421080979482,0.0599478909226544,0.627715648105778,0.0177858488665884,""
"S8","ami","Six-nearest-neighbor spatial weights","weighted SEM",2305,"exposure per 0.376",-0.140065038995338,0.0653532289510103,-0.268157367739318,-0.0119727102513573,0.0320970438828443,""
"S9","asthma","Excluding Antelope Valley ZIP codes 935xx (post hoc diagnostic)","WLS (ZIP-clustered)",2227,"exposure per 0.376",1.42700025611856,0.813848042495214,-0.175375895152896,3.02937640739002,0.0806810662319208,""
"S9","asthma","Excluding Antelope Valley ZIP codes 935xx (post hoc diagnostic)","weighted SEM",2227,"exposure per 0.376",-0.457358828475508,0.359474739026816,-1.16192931696807,0.247211660017051,0.203267420023807,""
"S9","ami","Excluding Antelope Valley ZIP codes 935xx (post hoc diagnostic)","WLS (ZIP-clustered)",2227,"exposure per 0.376",0.356722490357356,0.156265559974202,0.0490530072434808,0.664391973471231,0.0232287334496855,""
"S9","ami","Excluding Antelope Valley ZIP codes 935xx (post hoc diagnostic)","weighted SEM",2227,"exposure per 0.376",-0.0935740962598927,0.0777001133015953,-0.24586631833102,0.0587181258112341,0.228474393524136,""
"S10","asthma","log2(distance), per doubling","WLS (ZIP-clustered)",2305,"exposure per 1",3.23200378587798,1.18962761899599,0.890181400713362,5.5738261710426,0.00700470830257498,""
"S10","asthma","log2(distance), per doubling","weighted SEM",2305,"exposure per 1",-0.700920374704739,0.477361585010495,-1.63654908132531,0.23470833191583,0.142016858808778,""
"S10","ami","log2(distance), per doubling","WLS (ZIP-clustered)",2305,"exposure per 1",0.668494167666875,0.218662436833623,0.238049731782145,1.09893860355161,0.00245169110730166,""
"S10","ami","log2(distance), per doubling","weighted SEM",2305,"exposure per 1",-0.0790758923417201,0.0993224398867664,-0.273747874519782,0.115596089836342,0.425942913679336,""
"S11","asthma","Straight-line distance from geographic centroid recomputed from geometry (same park layer)","WLS (ZIP-clustered)",2305,"exposure per 0.285",2.50886712598721,1.04653820181251,0.448721119959821,4.5690131320146,0.0171764899397397,""
"S11","asthma","Straight-line distance from geographic centroid recomputed from geometry (same park layer)","weighted SEM",2305,"exposure per 0.285",-1.19872544614786,0.313210019540553,-1.81261708444735,-0.584833807848379,0.000129595658713957,""
"S11","ami","Straight-line distance from geographic centroid recomputed from geometry (same park layer)","WLS (ZIP-clustered)",2305,"exposure per 0.285",0.432383499961793,0.162270523495402,0.11294846137835,0.751818538545237,0.00815877411150313,""
"S11","ami","Straight-line distance from geographic centroid recomputed from geometry (same park layer)","weighted SEM",2305,"exposure per 0.285",-0.127535706342664,0.065435164714781,-0.255788629183635,0.000717216498306517,0.0512907339672046,""
"S12","asthma","Straight-line distance from population-weighted centroid (Census 2010)","WLS (ZIP-clustered)",2305,"exposure per 0.281",3.48578824597636,1.17247713499822,1.17772717124289,5.79384932070983,0.00320733713923824,""
"S12","asthma","Straight-line distance from population-weighted centroid (Census 2010)","weighted SEM",2305,"exposure per 0.281",-1.23984070780537,0.361202091992984,-1.94779680811162,-0.531884607499125,0.000597955187508337,""
"S12","ami","Straight-line distance from population-weighted centroid (Census 2010)","WLS (ZIP-clustered)",2305,"exposure per 0.281",0.550878409548806,0.180172537192032,0.196202648789061,0.90555417030855,0.00244925773077654,""
