"geoid_2010","zip","population","network_dist_3parks_miles","mean_dist_3parks_miles","asthma_ed_per10k","ami_ed_per10k","pm25_ug_m3","ozone_ppm","poverty_pct_below_2x_fpl","ozone_ppm_ces3_2012_2014","land_area_sq_mi","in_primary","within_1p25mi"
"06037278001","90045",2508,0.720846506402609,0.497438573333333,26.3,11.75,11.90155949,0.0438112,18.7,0.046,0.624099245637078,1,1
"06037910808","91387",3445,1.53659627773801,0.762601613333333,32.81,9.62,9.992603026,0.06718273,12.5,0.06,4.15966317945761,1,1
"06037265202","90024",3981,0.792816203372306,0.590355623333333,14.71,11.3,11.74779166,0.04939042,33.9,0.046,0.22192040689291,1,1
"06037310400","91504",3247,0.664680142965084,0.5464773,40.67,11.09,11.54798796,0.06133785,22.3,0.055,0.541555488658209,1,1
"06037264102","90049",2998,0.23895202020202,0.13904658,15.21,8.62,11.54047452,0.04939042,12.4,0.046,0.151693531154087,1,1
"06037550000","90650",1982,1.32315651594687,0.891378666666667,48.8,18.77,11.91621477,0.04716458,74.2,0.046,0.30411222568431,1,1
"06037920118","91384",6035,1.73445639962618,0.918389066666667,27.08,9.75,9.153485627,0.06133785,8.4,0.06,1.14328165659417,1,1
"06037550100","90650",7329,1.01695970532093,0.63916091,49.03,18.87,11.9261271,0.04716458,32.1,0.046,0.634630785559861,1,1
"06037920114","91355",6518,0.250664867175694,0.498808056666667,23.95,9.47,9.79582903,0.06350576,10.7,0.065,1.09125793198333,1,1
"06037551000","90241",7281,0.847101054839736,0.454549663333333,37.69,15.45,12.15364791,0.04676708,26.2,0.046,0.949456057989394,1,1
"06037900201","93535",1129,8.19886425773483,6.57969941666667,147.68,22.74,6.53795223,0.06236471,34.5,0.062,90.8719701056852,1,0
"06037552200","90650",5686,0.747608342281079,0.570791203333333,57.55,22.22,11.91520206,0.04632538,47.5,0.046,0.654646432149065,1,1
"06037800203","91302",5533,1.07331310148731,0.672553793333333,19.96,7.12,10.36908275,0.05535282,9,0.055,4.01011843239697,1,1
"06037552100","90650",6624,0.835693301121451,0.595634293333333,57.55,22.22,11.90058683,0.04588368,44,0.046,0.564326898242016,1,1
"06037700102","90046",4506,0.46524235961982,0.40130979,27.26,13.36,11.79372492,0.04978792,34.7,0.05,0.189105213540922,1,1
"06037551900","90650",5203,0.332781555714627,0.170131913333333,57.55,22.22,11.96563578,0.04539285,25.9,0.044,0.606407283209497,1,1
"06037920337","91321",6943,0.899811351706037,0.5598029,49.57,13.41,9.850480338,0.06718273,48.4,0.065,0.635294545085769,1,1
"06037553902","90723",5415,0.936554273045415,0.701559273333333,53.18,15.42,12.01505311,0.0438112,41.6,0.044,0.40856918323459,1,1
"06037551502","90242",4898,0.559685809870357,0.423200973333333,40.23,16.35,11.97387911,0.04539285,18.3,0.044,0.425756232039227,1,1
"06037403500","91724",1835,1.34994631352899,0.63180161,21.1,6.35,12.17170059,0.05605125,20.8,0.055,1.88950938085581,1,1
"06037551501","90242",4596,0.551522235146743,0.317498616666667,41.57,16.89,11.98289749,0.04539285,25.5,0.044,0.565223141534036,1,1
"06037461400","91104",3119,0.76279776107532,0.60773979,43.23,11.51,11.46988813,0.05938691,29.1,0.051,0.392157783087275,1,1
"06037551402","90241",4677,0.970699241430048,0.740050366666667,48.68,20.2,12.06771641,0.04588368,21.5,0.044,0.448804433700663,1,1
