"id","label","outcome","n","scale","ols_est","ols_lo","ols_hi","ols_p","r2","partial_r2","std_beta","sem_est","sem_lo","sem_hi","sem_p","lambda","pov_ols","pov_ols_p","pov_sem","pov_sem_p","note"
"S7T3","Density tertile T3 (post hoc)","asthma",768,0.375506417521673,5.69120067453646,0.623712813992027,10.7586885350809,0.0279650368080047,0.243110549744008,0.0200914072877505,0.140637211968706,NA,NA,NA,NA,NA,0.762031534872712,9.16224645467008e-11,NA,NA,""
"S7T3","Density tertile T3 (post hoc)","ami",768,0.375506417521673,0.806972870832097,-0.11774880811146,1.73169454977565,0.0867427811305995,0.202661628800839,0.0110318349597039,0.106469614308434,NA,NA,NA,NA,NA,0.123976092015177,0.0000000409168922086146,NA,NA,""
"S8","Six-nearest-neighbor spatial weights","asthma",2305,0.375506417521673,1.63668822427948,-0.137301150404834,3.4106775989638,0.070420455096709,0.333345029735821,0.00432283910579095,0.0621767671579475,-0.956408985152358,-1.57041830810083,-0.34239966220389,0.0022657682339366,0.924606622305683,0.875325098593569,3.59580160728363e-26,0.146085672352192,1.62943880610555e-10,""
"S8","Six-nearest-neighbor spatial weights","ami",2305,0.375506417521673,0.343831769514216,0.0599478909226544,0.627715648105778,0.0177858488665884,0.287342635540586,0.00634533787958006,0.0779654771843163,-0.140065038995338,-0.268157367739318,-0.0119727102513573,0.0320970438828443,0.873748934713494,0.135369381160577,2.17326201858956e-22,0.0307951818054935,7.57514051485941e-11,""
"S9","Excluding Antelope Valley ZIP codes 935xx (post hoc diagnostic)","asthma",2227,0.375506417521673,1.42700025611856,-0.175375895152896,3.02937640739002,0.0806810662319208,0.315159276391901,0.00278357887103381,0.0475154755886754,-0.457358828475508,-1.16192931696807,0.247211660017051,0.203267420023807,0.882888186114703,0.723689087063198,2.61299709045619e-22,0.132262209686137,0.0000000317007362582444,""
"S9","Excluding Antelope Valley ZIP codes 935xx (post hoc diagnostic)","ami",2227,0.375506417521673,0.356722490357356,0.0490530072434808,0.664391973471231,0.0232287334496855,0.292905631478244,0.00525878921817905,0.0664446093978642,-0.0935740962598927,-0.24586631833102,0.0587181258112341,0.228474393524136,0.819985867425985,0.118529962177025,1.02256767829905e-16,0.0295530666744154,5.62619040245238e-09,""
"S10","log2(distance), per doubling","asthma",2305,1,3.23200378587798,0.890181400713362,5.5738261710426,0.00700470830257498,0.335764738609497,0.00793677580317422,0.0815481704116507,-0.700920374704739,-1.63654908132531,0.23470833191583,0.142016858808778,0.899001139370357,0.876075572540001,1.91199527927745e-26,0.149646219103048,9.93039872554391e-10,""
"S10","log2(distance), per doubling","ami",2305,1,0.668494167666875,0.238049731782145,1.09893860355161,0.00245169110730166,0.290891361775754,0.0112933094350829,0.100677898760824,-0.0790758923417201,-0.273747874519782,0.115596089836342,0.425942913679336,0.834545920751409,0.135510370841835,1.64712203292692e-22,0.0322790834520738,1.17571286040175e-10,""
"S11","Straight-line distance from geographic centroid recomputed from geometry (same park layer)","asthma",2305,0.28532479544015,2.50886712598721,0.448721119959821,4.5690131320146,0.0171764899397397,0.337659494927368,0.0107666738393626,0.0956364940696066,-1.19872544614786,-1.81261708444735,-0.584833807848379,0.000129595658713957,0.900288644031968,0.862714531461156,8.29374912744563e-26,0.146489082404921,1.98931138228886e-09,""
"S11","Straight-line distance from geographic centroid recomputed from geometry (same park layer)","ami",2305,0.28532479544015,0.432383499961793,0.11294846137835,0.751818538545237,0.00815877411150313,0.29042013991957,0.0106362871160261,0.0983805526761397,-0.127535706342664,-0.255788629183635,0.000717216498306517,0.0512907339672046,0.835793466972957,0.133030352698097,1.52548499971861e-21,0.0319171050851827,1.83668857900443e-10,""
"S12","Straight-line distance from population-weighted centroid (Census 2010)","asthma",2305,0.281025355128725,3.48578824597636,1.17772717124289,5.79384932070983,0.00320733713923824,0.341643484769563,0.0167169297769055,0.117796009389993,-1.23984070780537,-1.94779680811162,-0.531884607499125,0.000597955187508337,0.900430321595004,0.862955869069659,2.75602481095127e-26,0.145085440647013,2.9861135786291e-09,""
