"GEOID","recorded_dist3_miles","centroid_x","centroid_y","popcentroid_x","popcentroid_y","dist3_planar","dist3_geodesic","dist1_planar","dist3_popcentroid","dist1_popcentroid","acres_0p5mi","acres_1mi","dist3_pna2016","walkshed2016_share","popcentroid_in_walkshed2016"
"06037650102",0.510043703333333,154290.146361127,-459258.347369138,154300.483141894,-459248.147274568,0.511434423951354,0.511434212252956,0.192285186232831,0.508392566386104,0.193937827112239,6.46741342358753,132.639250913014,0.511434417453157,0.550574862298644,1
"06037650200",0.624596383333333,154376.027493231,-460025.759742793,154027.929288607,-459997.229293574,0.70829488839472,0.708273422080445,0.62605658680761,0.620176666737237,0.492718283960934,0,53.5000108358356,0.677773494882405,0.358299119748999,0
"06037650602",0.527160683333333,151844.403259567,-462344.877881207,151715.109163827,-462397.80939206,0.487947130772581,0.488651522935922,0.222631991724663,0.447227729707883,0.141660867388519,6.60316267309398,38.3526318405208,0.487947141480919,0.498217165358055,1
"06037650502",0.208688686666667,150833.253059002,-461172.333064959,150868.461397544,-461144.927181148,0.209474360311707,0.209387293970643,0,0.22632010189032,0.014717928688453,50.0445692580567,76.5884941938573,0.209442568302099,0.999999999999987,1
"06037650501",0.357535286666667,151908.066148324,-461067.38162885,151931.824634647,-461102.619060188,0.358900963220345,0.359176134248696,0.107109833288154,0.379741050802782,0.121454912598133,6.81013342587641,129.068463745495,0.358778505734535,0.80694919221299,1
"06037297202",0.27684358,157685.180655051,-475280.668389872,157691.655169113,-475292.766321551,0.277118055348721,0.277063182904898,0.0437501274764939,0.276040247818796,0.0398016099110662,12.8913322205197,169.779122657266,0.373395089122765,0.998687853593189,1
"06037297201",0.29083899,158388.784051323,-475249.235101237,158403.339126536,-475243.70096263,0.29135342680335,0.290929479615126,0.190979436264725,0.291199584137998,0.190619953383834,25.555179491623,164.370053485449,0.298872992783358,1,1
"06037296902",0.25943882,157978.674287683,-474196.701951443,157965.831137559,-474178.56060933,0.295870843007697,0.29568592158452,0.0834497905068792,0.304542336834882,0.0948315651459821,14.2138178576272,73.0547782309991,0.427732150186577,0.999999999999981,1
"06037296901",0.20676944,158085.974228419,-474671.463404494,158248.942926816,-474666.223594324,0.207414498347627,0.207739399563267,0.118867038382928,0.266826799365698,0.194644687439271,16.4773728994333,80.4895984517295,0.36644472978571,1,1
"06037296402",0.19734528,157192.042173459,-472868.742378248,157189.810098342,-472974.27273996,0.197651134710372,0.19739601977049,0.122866690755311,0.231384232367002,0.183776252689149,78.1601392546626,115.795328224788,0.197672280002982,0.999999999999991,1
"06037296401",0.3694985,156246.660465698,-473416.667767949,156227.897754136,-473370.733739042,0.371017988190131,0.370630089184798,0.352663096429042,0.34587176020926,0.329800578045373,10.7747522123487,242.419003971393,0.431177397537864,0.999999999999988,1
"06037294701",0.456445103333333,161660.638500999,-469299.969295799,161540.83942707,-468961.327342171,0.458042875031691,0.458458858011504,0.442634923922347,0.248960327493643,0.237669730617066,1.39925916358349,45.8821333349666,0.437291549071133,0.627977270612591,1
"06037294421",0.439091413333333,157687.880286179,-468001.276457252,157629.395899886,-467863.159839881,0.439834968326334,0.439923365011577,0.223905138110402,0.441127150279464,0.308451011983216,93.8863910292684,323.916166935467,0.439834970253035,0.889225232249999,1
"06037294302",0.540688606666667,159485.257654648,-468575.426157749,159578.499624647,-468636.404848942,0.542497646979456,0.542972388660967,0.215757018901611,0.587380186696413,0.284001392675707,49.9575022759551,320.239800809337,0.54249763945937,0.641856265318925,1
"06037102105",0.443169606666667,152088.963440792,-421562.054213629,152060.451086738,-421556.14395634,0.44403074880846,0.443765874058075,0.264598562372231,0.4501710021244,0.255602013017985,7.57529971451183,205.239255313608,0.444077404866062,0.477902958885748,1
"06037101122",0.42078493,157420.362281958,-415044.990666853,157363.508062781,-415159.620896643,0.421912701877264,0.422103913355203,0.169431519189087,0.467330635739695,0.209943170479856,130.663553287078,751.672606319106,0.400984002431487,0.407839307913132,0
"06037201602",0.471530176666667,169084.429863441,-435974.558401563,168975.246463668,-435825.491416848,0.472501243360042,0.471748148247108,0.354325379758453,0.47514419428191,0.392507284974781,1.92029536881452,16.6333914048857,0.53983971080073,0.337358094210957,1
"06037201601",0.545316643333333,168209.813581487,-436488.550003663,168236.574351693,-436487.576816648,0.546876337508751,0.546293309550901,0.262826342104132,0.550870823195158,0.273134321826916,17.6529720946623,114.596417982133,0.26660571444517,0.347381697020542,0
"06037195903",0.293030616666667,158505.249229672,-435766.982019749,158504.391956584,-435744.865538489,0.294241101439494,0.294026469923794,0.187981752961599,0.288755367957856,0.174536701079142,10.4610722160443,14.7724507983523,0.318565290090436,0.995265129111552,1
"06037195902",0.19784755,158781.532507407,-435145.144771938,158809.515984368,-435112.348604896,0.197904119098538,0.197760155528633,0.0654939071759389,0.201325914216447,0.0911362078111716,9.64475680086557,27.7991964586918,0.197904128807723,0.999999999999983,1
"06037195901",0.352734253333333,158501.24235092,-434882.531028022,158507.158365983,-434873.628680103,0.353239033551284,0.353114387091844,0.17570681292182,0.354269612035139,0.179785718897798,9.38244111181364,19.0780019604105,0.353283144113597,0.575820573824716,1
"06037195804",0.46421671,159397.15887347,-435976.527597657,159400.575244171,-436033.141682424,0.465987938478343,0.466312492259675,0.265341415242664,0.487826893708823,0.298803677893844,0.321723624800257,39.2903686944484,0.465987927474163,0.00250307034723439,0
"06037195803",0.236242933333333,159012.222383306,-435646.978918127,159009.357635266,-435666.690705845,0.237033965609012,0.237095352387423,0.115876581355683,0.245236463303373,0.124258780511743,9.64475680086557,17.7656742634476,0.237033960181482,0.640804554527591,1
"06037195202",0.590976673333333,158819.545857325,-433304.13094488,158769.718222455,-433311.540402682,0.645230953632234,0.64443409375456,0.405686850492129,0.650808454426836,0.422658025077864,4.23260064909923,133.465713848636,0.795892547611067,0,0
"06037195201",0.478107013333333,158810.420766421,-432662.682230946,158867.042319302,-432690.097681333,0.454229570334957,0.454019597478199,0.0996822763198539,0.438480206841662,0.0825428425836198,4.31720049510429,226.152989815131,0.673606334399114,0.00134159675344588,0
"06037910404",0.77286264,172050.065334801,-381751.586380291,172000.293550862,-381642.722667627,0.774791454266843,0.774992255924006,0.545366146421208,0.738055210106558,0.514224181037234,0,79.1417410016537,0.774791442337827,0.0268062375717251,0
"06037910602",0.371206866666667,176008.355290257,-380420.877614832,176391.407477352,-380427.541596232,0.372089628141587,0.371485862698977,0.0975433426749378,0.497494927220706,0,35.3638124767738,89.3401154110716,0.372089637109692,0.622849424146186,1
"06037910706",1.68983784,183035.86639694,-382836.246423161,180571.527076542,-383121.321267618,1.36467953897307,1.3636706349056,0.586460371585981,0.698507681276766,0.422511374601199,0,51.0268415182608,0.5795134118126,0.0606206698217505,0
"06037910707",0.851372096666667,174551.688912848,-383855.916116765,174386.158085757,-382990.577873232,0.853315778666628,0.853081098071182,0.265398754843811,0.802338887110738,0.470730879965683,19.8427879050571,30.277605622897,0.853315788573039,0.0843726391497074,0
"06037269000",0.42094986,147511.716488156,-440087.149317447,147394.105831925,-440302.81742239,0.249323894278186,0.249055640271447,0.192484416903838,0.196668080185953,0.185520545142052,52.02905040476,185.548429513604,0.238711570797486,0.678428050996183,1
"06037269500",0.503800666666667,148296.763680906,-440096.149188405,148323.552822905,-440087.41851894,0.505008782077302,0.504711665610632,0.351180767946474,0.510727532209937,0.367714636904277,0.384997970779475,63.050703184393,0.50101660416997,0.436748926800682,0
