"ZCTA5","GEOID","POPPT","ZPOP","ZPOPPCT"
"90032","06037201200",2519,45786,5.5
"90032","06037201301",3442,45786,7.52
"90032","06037201302",44,45786,0.1
"90032","06037201401",4803,45786,10.49
"90032","06037201402",4311,45786,9.42
"90032","06037201501",5306,45786,11.59
"90032","06037201503",3323,45786,7.26
"90032","06037201504",2428,45786,5.3
"90032","06037201601",2288,45786,5
"90032","06037201602",2840,45786,6.2
"90032","06037201700",5093,45786,11.12
"90032","06037530700",225,45786,0.49
"90033","06037199900",0,48852,0
"90033","06037203100",4839,48852,9.91
"90033","06037203200",3177,48852,6.5
"90033","06037203300",2516,48852,5.15
"90033","06037203500",3064,48852,6.27
"90033","06037203600",5394,48852,11.04
"90033","06037203710",3259,48852,6.67
"90033","06037203720",4001,48852,8.19
"90033","06037203800",333,48852,0.68
"90033","06037204110",432,48852,0.88
"90033","06037204200",3303,48852,6.76
"90033","06037204300",4544,48852,9.3
"90033","06037204410",2363,48852,4.84
"90033","06037204420",3138,48852,6.42
"90033","06037204600",1729,48852,3.54
"90033","06037206032",5275,48852,10.8
"90033","06037206050",1485,48852,3.04
"90034","06037269000",495,57964,0.85
"90034","06037269500",2653,57964,4.58
"90034","06037269601",3371,57964,5.82
"90034","06037269602",3017,57964,5.2
"90034","06037269700",4085,57964,7.05
"90034","06037269800",3458,57964,5.97
"90034","06037269903",2696,57964,4.65
"90034","06037269904",3902,57964,6.73
"90034","06037269905",1861,57964,3.21
"90034","06037269906",2878,57964,4.97
"90034","06037269907",2761,57964,4.76
"90034","06037270100",4395,57964,7.58
"90034","06037270200",3761,57964,6.49
"90034","06037270300",658,57964,1.14
"90034","06037271701",5371,57964,9.27
"90034","06037271702",3056,57964,5.27
"90034","06037271801",3635,57964,6.27
"90034","06037271802",5911,57964,10.2
"90035","06037216401",4189,28418,14.74
"90035","06037216402",2615,28418,9.2
"90035","06037216700",3341,28418,11.76
"90035","06037216800",2624,28418,9.23
"90035","06037217001",2654,28418,9.34
"90035","06037217002",4977,28418,17.51
"90035","06037269000",1680,28418,5.91
"90035","06037269100",4359,28418,15.34
"90035","06037269500",1390,28418,4.89
"90035","06037269601",42,28418,0.15
"90035","06037269602",235,28418,0.83
"90035","06037270300",308,28418,1.08
"90035","06037700902",4,28418,0.01
"90036","06037191902",950,36865,2.58
"90036","06037192001",577,36865,1.57
"90036","06037192002",1336,36865,3.62
"90036","06037211000",1541,36865,4.18
"90036","06037214000",3898,36865,10.57
"90036","06037214100",3335,36865,9.05
"90036","06037214400",2877,36865,7.8
"90036","06037214501",2932,36865,7.95
"90036","06037214502",5528,36865,15
"90036","06037214503",3325,36865,9.02
"90036","06037214700",2,36865,0.01
"90036","06037215101",2477,36865,6.72
"90036","06037215102",3110,36865,8.44
"90036","06037216100",418,36865,1.13
"90036","06037216200",2139,36865,5.8
"90036","06037216300",2420,36865,6.56
"90037","06037228420",125,62276,0.2
"90037","06037228500",100,62276,0.16
"90037","06037229300",206,62276,0.33
"90037","06037231100",1544,62276,2.48
"90037","06037231210",3688,62276,5.92
"90037","06037231220",3624,62276,5.82
"90037","06037231300",290,62276,0.47
"90037","06037231600",5320,62276,8.54
"90037","06037231710",4358,62276,7
"90037","06037231720",4966,62276,7.97
"90037","06037231800",5303,62276,8.52
"90037","06037231900",5968,62276,9.58
"90037","06037232110",3191,62276,5.12
"90037","06037232120",5263,62276,8.45
"90037","06037232200",1938,62276,3.11
"90037","06037232300",2407,62276,3.87
"90037","06037232600",4267,62276,6.85
"90037","06037232700",5895,62276,9.47
"90037","06037232800",3823,62276,6.14
"90038","06037190801",1317,28917,4.55
"90038","06037190802",2105,28917,7.28
"90038","06037190901",4160,28917,14.39
"90038","06037190902",3045,28917,10.53
"90038","06037191710",3231,28917,11.17
"90038","06037191720",3770,28917,13.04
"90038","06037191810",3498,28917,12.1
"90038","06037191820",2647,28917,9.15
"90038","06037191901",3355,28917,11.6
"90038","06037191902",1546,28917,5.35
"90038","06037192001",25,28917,0.09
"90038","06037192300",214,28917,0.74
"90038","06037192410",0,28917,0
"90038","06037700101",2,28917,0.01
"90038","06037700102",2,28917,0.01
"90039","06037187101",3235,28514,11.35
"90039","06037187102",3254,28514,11.41
"90039","06037187200",3132,28514,10.98
"90039","06037187300",3216,28514,11.28
"90039","06037188100",4076,28514,14.29
"90039","06037188201",850,28514,2.98
"90039","06037188300",3536,28514,12.4
"90039","06037195100",4684,28514,16.43
"90039","06037195400",97,28514,0.34
"90039","06037195500",950,28514,3.33
"90039","06037197410",1484,28514,5.2
"90039","06037301702",0,28514,0
"90039","06037302301",0,28514,0
"90040","06037531302",599,12520,4.78
"90040","06037532302",4654,12520,37.17
"90040","06037532303",3540,12520,28.27
"90040","06037532304",3652,12520,29.17
"90040","06037534001",32,12520,0.26
"90040","06037534002",43,12520,0.34
"90041","06037181000",6061,27425,22.1
"90041","06037181300",2828,27425,10.31
"90041","06037181400",4302,27425,15.69
"90041","06037181500",3062,27425,11.16
"90041","06037181600",3671,27425,13.39
"90041","06037183222",1743,27425,6.36
"90041","06037183402",2480,27425,9.04
"90041","06037186100",588,27425,2.14
"90041","06037186201",2690,27425,9.81
"90042","06037181500",750,62430,1.2
"90042","06037181600",681,62430,1.09
"90042","06037183101",3922,62430,6.28
"90042","06037183103",3967,62430,6.35
"90042","06037183104",2063,62430,3.3
"90042","06037183220",4114,62430,6.59
"90042","06037183221",3118,62430,4.99
"90042","06037183222",1740,62430,2.79
"90042","06037183300",3480,62430,5.57
"90042","06037183401",2543,62430,4.07
"90042","06037183402",340,62430,0.54
"90042","06037183510",2725,62430,4.36
"90042","06037183520",3881,62430,6.22
"90042","06037183610",3275,62430,5.25
"90042","06037183620",3264,62430,5.23
"90042","06037183701",3922,62430,6.28
"90042","06037183702",2805,62430,4.49
"90042","06037183810",4369,62430,7
"90042","06037183820",3464,62430,5.55
"90042","06037185100",2358,62430,3.78
"90042","06037186201",378,62430,0.61
