"GEOID","population","asthma","ami","poverty","pm25","ozone","child_10","elderly_65"
"06037127102",5779,109.67,20.85,50.6,11.6846695,0.06350576,15.57,6.26
"06037531504",4250,72.44,16.96,53.7,12.05688492,0.04939042,16.05,8.96
"06037226410",3665,69.72,22.77,69.7,12.09845951,0.04588368,13.07,8.05
"06037570404",3676,85.11,18.65,41.5,12.38808685,0.04259906,14.83,9.06
"06037553801",4954,61.83,18.28,56.1,12.0879027,0.0438112,16.47,5.31
"06037534502",4654,60.66,24.24,44.3,12.03943263,0.04588368,16.18,11.35
"06037407002",3436,48.99,17.53,35.4,12.04124577,0.05679963,10.1,16.41
"06037531000",5133,45.48,11.8,54.7,12.12011834,0.04981739,17.16,11.24
"06037540501",6713,67.87,18.84,36.8,12.08997374,0.0438112,9.28,5.97
"06037542602",5934,102.85,16.27,46.6,12.12536191,0.04259906,12.55,6.86
"06037240020",5223,99.07,24.47,67.7,12.0941273,0.0438112,17.73,6.76
"06037229300",5715,69.72,22.77,71.6,12.00225165,0.04490202,19.07,3.95
"06037404402",5156,71.92,17.02,37.7,11.46729707,0.06133785,10.76,9.25
"06037572800",986,79.55,21.11,85.4,11.69431502,0.03975537,4.97,7.2
"06037229410",3697,69.59,22.72,66.1,12.00225165,0.04490202,24.07,5.22
"06037553702",4723,55.62,16.19,49.9,12.09151255,0.0438112,15.58,7.66
"06037231720",4934,100.68,20.14,55.7,12.0084908,0.04490202,14.53,10.92
"06037533602",5546,54.25,23.93,57.5,12.05553415,0.04632538,17.69,8.38
"06037228210",4233,69.72,22.77,73.4,12.09940492,0.04588368,16.7,10.96
"06037239802",5461,74.29,21.26,66.3,12.10418364,0.04435661,14.47,5.35
"06037541100",3251,79.8,13.56,57.8,12.11029674,0.04259906,14.49,12.15
"06037207102",2926,30.75,10.73,57.1,12.87564539,0.0482775,4.31,27.92
"06037228410",3600,69.72,22.77,66.3,12.0527736,0.04588368,14.31,6.22
"06037120107",3893,87.77,19.34,70.5,11.86110213,0.06464682,20.32,4.55
"06037226700",7661,69.72,22.77,73.7,12.09845951,0.04588368,20.01,3.55
"06037120300",5238,93.94,20.82,27.6,11.67857435,0.06464682,10.16,12.91
"06037206300",6103,83.69,7.91,93.2,12.39952871,0.04756207,1.23,11.06
"06037123304",4362,48.94,13.53,45.6,11.52481034,0.06236471,9.31,22.17
"06037191500",5931,65.65,17.01,42.2,12.05932002,0.04863521,8.3,13.49
"06037402702",6365,81.58,17.81,64.4,12.88889973,0.05846283,21.37,4.21
"06037575300",4360,128.01,27.87,63.3,11.70376562,0.03975537,16.67,9.45
"06037402600",7493,87.89,19.04,46.1,12.69293611,0.05938691,17.12,12.52
"06037186403",2698,65.4,11.07,34.8,11.94222572,0.05116215,11.08,18.53
"06037408501",3050,46.16,12.41,40.3,12.13820885,0.05395594,11.48,13.44
"06037122000",5892,68.8,17.83,37.4,11.50541661,0.06350576,8.55,16.12
"06037534406",5027,54.25,23.93,64,12.03639575,0.04632538,18.34,5.65
"06037209102",5950,79.97,12.37,71.8,12.35408718,0.04756207,16.82,7.93
"06037121802",3216,70.54,18.29,44.3,11.40523782,0.06350576,12.9,12.06
"06037240300",5637,86.16,18.16,58,12.09514285,0.0438112,21.59,7.11
"06037572500",3643,79.55,21.11,53,11.78613452,0.03975537,11.78,20.18
"06037543201",3605,122.52,19.17,40.2,12.18773918,0.04259906,18.06,10.04
"06037191810",3367,58.73,15.62,63.8,11.90037867,0.04939042,9.56,6.53
"06037119001",4435,81.71,13.36,22.4,11.410504,0.06591477,10.62,13.24
"06037124204",2192,62.98,15.03,50.6,11.55022293,0.05938691,6.8,9.99
"06037541200",6546,120.27,22.28,23.1,12.13075961,0.04259906,13.47,15.43
"06037600502",2097,87.64,21.07,27.7,12.11407435,0.04259906,10.01,14.78
"06037541500",6273,131.07,22.67,57.5,12.09745122,0.04320513,21.01,4.14
"06037402804",4238,74.43,17.38,54,12.71142454,0.05763123,12.88,6.8
"06037535901",5578,52.53,18.39,39.6,12.04753502,0.04539285,12.44,9.82
"06037228420",3304,69.72,22.77,72.4,12.0527736,0.04539285,19.95,3.66
"06037104822",2839,81.71,13.36,48.6,11.3752253,0.06718273,16.1,8.59
"06037104403",3341,81.71,13.36,35.5,11.44347884,0.06718273,11.4,13.14
"06037433401",3405,65.92,16.69,59,12.00258505,0.05605125,11.54,10.19
"06037294820",3473,76.33,21.61,70.2,11.72966207,0.03892377,20.79,6.42
"06037553601",4699,50.24,15.1,44.7,12.04480755,0.04435661,11.83,9.34
"06037240402",3763,95.33,20.3,56.2,12.08962673,0.04320513,13.55,8.64
"06037122200",3469,65.3,13.43,44.9,11.50595509,0.06350576,9.28,10.09
"06037104701",4402,81.71,13.36,77.4,11.30315023,0.06718273,16.7,6.84
"06037503000",5606,58.17,22.83,41.3,11.92700646,0.04791979,18.21,5.53
"06037123020",3250,61.75,12.84,44.6,11.5297162,0.06236471,12.25,13.32
"06037603302",4048,67.34,13,35.5,12.00605839,0.04125212,9.34,21.49
"06037540902",4707,104.72,16.83,36.7,12.12642045,0.04259906,9.75,14.38
"06037104810",5631,81.71,13.36,43.5,11.46459884,0.06718273,12.93,10
"06037124103",1950,72.71,20.59,55.5,11.52811451,0.060311,12.87,14.51
"06037191620",2532,70,18.14,64.3,12.01439591,0.04863521,5.06,20.26
"06037502200",6937,60.7,22.6,30.1,12.12818912,0.04939042,12.08,13.62
"06037402101",5558,72.7,16.07,51.5,12.91137126,0.05938691,14.9,8.94
"06037127520",4870,41.02,8.55,68.4,12.06000567,0.06464682,16.47,9.26
"06037241201",3015,97.9,20.03,49.3,12.09880174,0.04320513,12.01,9.39
"06037239320",4086,113.88,27.88,65.3,12.13275518,0.04490202,16.62,5.56
"06037104404",3084,81.71,13.36,46.4,11.32010666,0.06718273,17.32,8.4
"06037296500",3447,95.43,13.58,56,11.6676115,0.03809217,12.21,14.74
"06037571701",6247,89.38,19.43,46.2,12.31736907,0.04192559,10.07,8.72
"06037123206",2572,52.8,14.81,59.1,11.51704283,0.06133785,12.64,9.76
"06037573202",6379,90.98,18.43,44.3,11.70913172,0.03975537,16.96,7.52
"06037530801",5407,56.8,16.64,57.1,12.28025039,0.04939042,14,10.06
"06037530101",5285,46.51,14.67,49.7,12.01818441,0.05116215,14.59,16.46
"06037208402",2896,55.72,14.06,57.7,12.33647073,0.04791979,12.05,7.98
"06037291120",2407,70.95,13.39,44.7,12.14261917,0.04259906,13.38,7.64
"06037190801",2682,52.96,13.14,65.2,11.97617641,0.04939042,3.95,16.29
"06037602002",3057,52.66,13.14,44.7,11.9852196,0.04259906,14.33,9.55
"06037232500",4940,112.71,18.74,41.3,11.94659663,0.04435661,13.08,11.9
"06037601501",3918,58.43,15.75,63.4,12.04273571,0.04259906,14.55,4.01
"06037203600",5276,81.34,16.99,56.1,12.63753163,0.04899293,13.59,8.72
"06037132102",5401,77.98,19.65,34.7,12.78250401,0.06350576,9.29,14.26
"06037602509",4457,74.62,18.96,27.7,12.10489415,0.04259906,13.13,10.39
"06037120030",2666,93.94,20.82,65.9,11.81424877,0.06464682,15.3,9.71
"06037531602",4432,71.15,16.72,49.3,12.11496468,0.04899293,16.16,10.51
"06037301702",5835,39.08,17.47,35.6,11.81877691,0.05462941,11.93,14.94
"06037123301",4530,59.57,16.34,34.3,11.52590949,0.06236471,10.31,14.72
"06037122121",2829,67.69,13.96,47.3,11.49943551,0.06236471,12.34,10.25
"06037237101",4409,125.58,24.53,59.8,11.97007108,0.04435661,17.56,7.96
"06037532604",2739,60.74,24.24,50.1,12.14111892,0.04588368,14.6,10.48
"06037219300",4239,87.1,17.47,47.8,11.9612643,0.04539285,15.33,11.42
"06037228310",4523,69.72,22.77,53.8,12.06807983,0.04588368,15.61,5.86
"06037240700",6596,100.67,24.99,50.2,12.07586683,0.0438112,17.57,7.61
"06037238320",3804,83.78,17.52,65.7,12.12072526,0.0438112,23.21,7.86
"06037533300",3346,45.55,14.2,63.8,12.10196267,0.04676708,21.52,4.72
"06037534900",6319,67.65,21.92,39.7,12.11083805,0.04539285,11.73,7.41
"06037199800",5828,59.14,9.64,66.4,12.70430833,0.04978792,14.34,14.69
"06037104320",5292,81.71,13.36,32.3,11.16595012,0.06718273,12.15,12.24
"06037131020",6704,83.59,22.29,39.8,14.03112587,0.06133785,13.69,7.82
"06037433503",3269,65.92,16.69,55.5,12.04321516,0.05530288,14.22,9.7
"06037536200",7281,41.9,14.88,32.8,12.01769349,0.04435661,13.76,10.12
"06037531102",3210,56.8,16.64,55,12.15909476,0.04939042,15.89,11.59
"06037219800",2861,99.57,16.87,43.8,11.94583615,0.04539285,10.42,9.79
"06037218500",2641,87.75,14.91,42.3,11.95828056,0.04588368,9.24,12.87
"06037402304",4057,78.05,15.97,69,12.53893681,0.05763123,17.4,6.06
"06037209300",4885,69.89,10.91,65.8,12.2587974,0.04716458,11.89,6.73
"06037601302",7333,93.18,18.03,43.4,11.88139021,0.0438112,15.76,6.64
"06037603001",7498,87.73,16.4,39,12.09860815,0.04259906,10.24,15.86
"06037533103",3283,60.74,24.24,65.1,12.07802241,0.04539285,15.57,8.07
"06037240800",4341,79.65,18.29,55.9,12.05760637,0.0438112,13.78,8.62
"06037402303",4080,62.94,13.01,56.4,12.61296425,0.05763123,13.8,8.85
